State,Year,University/College,Campus,"Student 
Enrollment1","Violent 
Crime",Murder and nonnegligent manslaughter,Rape2,Robbery,Aggravated assault,"Property 
Crime",Burglary,"Larceny-
theft",Motor vehicle theft,Arson3
ALABAMA,2022,University of Montevallo,,"2,960",0,0,0,0,0,0,0,0,0,0
ALABAMA,2022,University of North Alabama,,"10,003",7,0,2,1,4,32,3,28,1,0
ALABAMA,2022,University of South Alabama,,"16,311",23,1,4,1,17,74,11,60,3,1
ALABAMA,2022,University of West Alabama,,"8,711",1,0,1,0,0,20,2,18,0,0
ALABAMA,2022,Wallace State Community College,,"6,298",0,0,0,0,0,10,2,8,0,0
ALASKA,2022,University of Alaska,Fairbanks,"10,725",2,0,0,0,2,40,1,36,3,0
ARIZONA,2022,Arizona State University,Main Campus,"161,117",44,0,9,7,28,"1,121",57,"1,032",32,4
ARIZONA,2022,Central Arizona College,,"6,317",0,0,0,0,0,3,1,2,0,0
ARIZONA,2022,Northern Arizona University,,"33,349",19,0,16,1,2,191,15,173,3,1
ARIZONA,2022,Pima Community College,,"32,802",1,0,0,0,1,51,3,42,6,1
ARIZONA,2022,University of Arizona,,"52,329",54,1,12,5,36,718,31,656,31,2
ARKANSAS,2022,Arkansas State University:,Beebe,"3,939",0,0,0,0,0,0,0,0,0,0
ARKANSAS,2022,Arkansas State University:,Jonesboro,"18,451",2,0,0,0,2,32,2,28,2,0
ARKANSAS,2022,Arkansas Tech University,,"12,257",6,0,4,0,2,52,2,50,0,0
ARKANSAS,2022,Henderson State University,,"3,610",1,0,0,0,1,13,2,11,0,0
ARKANSAS,2022,Southern Arkansas University,,"5,209",2,0,2,0,0,13,1,9,3,0
ARKANSAS,2022,Southern Arkansas University Tech,,"1,588",0,0,0,0,0,1,0,1,0,0
ARKANSAS,2022,University of Arkansas:,Fayetteville,"30,349",10,0,6,0,4,171,17,137,17,0
ARKANSAS,2022,University of Arkansas:,Little Rock,"10,955",1,0,0,0,1,30,8,21,1,0
ARKANSAS,2022,University of Arkansas:,Medical Sciences,"3,241",7,0,0,0,7,94,1,90,3,0
ARKANSAS,2022,University of Arkansas:,Monticello,"3,293",1,0,1,0,0,6,0,6,0,0
ARKANSAS,2022,University of Arkansas:,Pine Bluff,"2,898",3,0,1,0,2,43,9,34,0,0
ARKANSAS,2022,University of Arkansas:,Pulaski Technical College ,"6,967",0,0,0,0,0,12,0,12,0,0
ARKANSAS,2022,University of Arkansas Community College at Morrilton,,"2,400",0,0,0,0,0,2,0,2,0,0
ARKANSAS,2022,University of Central Arkansas,,"11,834",5,0,1,0,4,71,8,62,1,1
CALIFORNIA,2022,Allan Hancock College,,"14,876",0,0,0,0,0,13,3,10,0,
CALIFORNIA,2022,California State Polytechnic University:,Humboldt,"7,184",2,0,1,1,0,89,12,74,3,
CALIFORNIA,2022,California State Polytechnic University:,Pomona,"31,745",7,0,4,1,2,131,10,113,8,
CALIFORNIA,2022,California State Polytechnic University:,San Luis Obispo,"23,319",3,0,3,0,0,223,19,174,30,1
CALIFORNIA,2022,California State University:,Bakersfield ,"13,088",5,0,0,5,0,38,2,33,3,
CALIFORNIA,2022,California State University:,Channel Islands,"8,370",8,0,7,0,1,44,4,37,3,
CALIFORNIA,2022,California State University:,Chico,"18,141",4,0,2,1,1,90,4,82,4,
CALIFORNIA,2022,California State University:,Dominguez Hills,"20,180",2,0,1,0,1,32,12,18,2,
CALIFORNIA,2022,California State University:,East Bay,"18,567",4,0,3,1,0,44,3,40,1,1
CALIFORNIA,2022,California State University:,Fresno,"27,235",10,0,2,2,6,183,9,170,4,
CALIFORNIA,2022,California State University:,Fullerton,"47,482",3,0,1,0,2,158,5,143,10,
CALIFORNIA,2022,California State University:,Long Beach,"43,455",8,0,0,1,7,54,5,33,16,1
CALIFORNIA,2022,California State University:,Los Angeles,"29,167",7,0,1,3,3,106,9,79,18,
CALIFORNIA,2022,California State University:,Monterey Bay,"8,273",7,0,1,0,6,23,4,18,1,1
CALIFORNIA,2022,California State University:,Northridge,"43,286",7,0,5,1,1,133,5,123,5,
CALIFORNIA,2022,California State University:,Sacramento,"36,476",8,0,3,2,3,215,15,185,15,
CALIFORNIA,2022,California State University:,San Bernardino,"21,793",7,0,1,2,4,79,3,67,9,
CALIFORNIA,2022,California State University:,San Jose,"39,940",34,0,7,4,23,259,36,215,8,2
CALIFORNIA,2022,California State University:,San Marcos,"17,565",3,0,2,1,0,48,7,40,1,2
CALIFORNIA,2022,California State University:,Stanislaus,"12,470",3,0,2,0,1,11,0,10,1,0
CALIFORNIA,2022,Chaffey College,,"27,808",0,0,0,0,0,10,0,8,2,
CALIFORNIA,2022,College of the Sequoias,,"15,729",0,0,0,0,0,14,2,11,1,
CALIFORNIA,2022,Contra Costa Community College,,"49,068",3,0,1,0,2,75,24,49,2,
CALIFORNIA,2022,Cuesta College,,"13,912",0,0,0,0,0,4,0,4,0,
CALIFORNIA,2022,El Camino College,,"30,759",3,0,0,1,2,29,1,25,3,0
CALIFORNIA,2022,Foothill-De Anza College,,"56,506",2,0,0,0,2,17,3,12,2,0
CALIFORNIA,2022,Irvine Valley College,,"18,155",0,0,0,0,0,8,0,8,0,
CALIFORNIA,2022,Marin Community College,,"6,494",1,0,0,0,1,4,0,4,0,
CALIFORNIA,2022,Mt. San Jacinto College,,"19,172",0,0,0,0,0,12,4,6,2,
CALIFORNIA,2022,Pasadena Community College,,"35,760",0,0,0,0,0,36,1,32,3,
CALIFORNIA,2022,Riverside Community College,,"59,448",2,0,0,0,2,40,12,19,9,
CALIFORNIA,2022,San Bernardino Community College,,"25,704",0,0,0,0,0,38,13,23,2,
CALIFORNIA,2022,San Diego State University,,"38,811",27,0,12,6,9,358,63,283,12,
CALIFORNIA,2022,San Francisco State University,,"31,072",13,0,1,2,10,120,9,95,16,4
CALIFORNIA,2022,San Joaquin Delta College,,"25,009",1,0,1,0,0,28,3,24,1,4
CALIFORNIA,2022,San Jose/Evergreen Community College,,"26,623",0,0,0,0,0,44,20,23,1,
CALIFORNIA,2022,Sonoma County Junior College,,"24,673",2,0,0,0,2,15,2,12,1,
CALIFORNIA,2022,Sonoma State University,,"8,775",7,0,4,0,3,56,6,47,3,
CALIFORNIA,2022,State Center Community College District,,"61,021",0,0,0,0,0,96,12,79,5,
CALIFORNIA,2022,University of California:,Berkeley,"45,584",95,0,14,18,63,920,50,519,351,19
CALIFORNIA,2022,University of California:,Davis,"41,743",24,0,10,4,10,936,119,674,143,5
CALIFORNIA,2022,University of California:,Irvine,"38,479",23,1,9,0,13,490,23,459,8,
CALIFORNIA,2022,University of California:,Los Angeles,"47,499",64,0,9,8,47,723,131,442,150,7
CALIFORNIA,2022,University of California:,"Medical Center, Sacramento3",,5,0,3,0,2,87,11,73,3,0
CALIFORNIA,2022,University of California:,Merced,"9,488",7,0,2,0,5,63,1,60,2,
CALIFORNIA,2022,University of California:,Riverside,"28,597",6,0,3,1,2,534,64,409,61,
CALIFORNIA,2022,University of California:,San Diego,"41,682",14,0,3,3,8,909,31,564,314,
CALIFORNIA,2022,University of California:,San Francisco,"3,313",21,0,2,6,13,380,43,298,39,3
CALIFORNIA,2022,University of California:,Santa Barbara,"28,222",21,0,13,3,5,456,20,419,17,5
CALIFORNIA,2022,University of California:,Santa Cruz,"20,781",18,0,12,2,4,186,12,166,8,2
CALIFORNIA,2022,Ventura County Community College District,,"50,633",0,0,0,0,0,12,4,8,0,
CALIFORNIA,2022,West Valley-Mission College,,"23,203",0,0,0,0,0,22,12,9,1,
COLORADO,2022,Adams State University,,"3,863",8,0,1,0,7,39,2,37,0,0
COLORADO,2022,Colorado School of Mines,,"7,281",0,0,0,0,0,107,2,97,8,0
COLORADO,2022,Colorado State University,Fort Collins,"36,626",12,0,3,0,9,488,22,456,10,2
COLORADO,2022,Fort Lewis College,,"3,899",4,0,4,0,0,19,3,16,0,0
COLORADO,2022,Red Rocks Community College,,"9,871",0,0,0,0,0,15,1,9,5,0
COLORADO,2022,University of Colorado:,Boulder,"41,927",20,0,12,1,7,472,28,431,13,4
COLORADO,2022,University of Colorado:,Colorado Springs,"15,955",7,0,7,0,0,85,4,79,2,0
COLORADO,2022,University of Colorado:,Denver,"30,432",3,0,0,1,2,231,2,64,165,0
COLORADO,2022,University of Northern Colorado,,"13,818",1,0,1,0,0,113,7,83,23,0
CONNECTICUT,2022,Central Connecticut State University,,"12,467",1,0,1,0,0,9,0,9,0,0
CONNECTICUT,2022,University of Connecticut,All Campuses3,,4,0,2,0,2,126,5,102,19,1
CONNECTICUT,2022,Western Connecticut State University,,"6,001",0,0,0,0,0,13,0,12,1,0
CONNECTICUT,2022,Yale University,,"13,555",4,0,0,0,4,179,13,150,16,0
DELAWARE,2022,Delaware State University,,"5,230",10,0,7,1,2,41,1,39,1,0
DELAWARE,2022,University of Delaware,,"25,695",5,0,4,1,0,166,4,161,1,3
FLORIDA,2022,Florida A&M University,,"10,221",5,0,4,0,1,29,6,21,2,0
FLORIDA,2022,Florida Atlantic University,,"37,656",5,0,4,0,1,45,2,30,13,0
FLORIDA,2022,Florida Polytechnic University,,"1,498",1,0,1,0,0,6,1,5,0,0
FLORIDA,2022,Florida State University,Panama City3,,0,0,0,0,0,5,0,5,0,0
FLORIDA,2022,New College of Florida,,706,4,0,3,0,1,20,1,17,2,0
FLORIDA,2022,Santa Fe College,,"17,486",0,0,0,0,0,6,1,5,0,0
FLORIDA,2022,University of Central Florida,,"83,889",10,0,5,3,2,186,13,165,8,0
FLORIDA,2022,University of Florida,,"60,790",9,0,4,1,4,184,10,174,0,0
FLORIDA,2022,University of North Florida,,"20,138",12,0,10,0,2,64,3,60,1,0
FLORIDA,2022,University of South Florida,St. Petersburg3,,0,0,0,0,0,18,0,17,1,0
FLORIDA,2022,University of West Florida,,"16,584",0,0,0,0,0,20,1,19,0,0
GEORGIA,2022,Abraham Baldwin Agricultural College,,"4,735",1,0,1,0,0,32,0,31,1,0
GEORGIA,2022,Agnes Scott College,,"1,130",0,0,0,0,0,15,0,13,2,0
GEORGIA,2022,Athens Technical College,,"5,778",0,0,0,0,0,0,0,0,0,0
GEORGIA,2022,Atlanta Technical College,,"4,973",0,0,0,0,0,1,0,1,0,0
GEORGIA,2022,Augusta Technical College,,"5,549",0,0,0,0,0,3,0,3,0,0
GEORGIA,2022,Augusta University,,"9,979",4,0,0,4,0,116,8,104,4,1
GEORGIA,2022,Berry College,,"2,308",0,0,0,0,0,19,0,19,0,0
GEORGIA,2022,Clayton State University,,"8,659",4,0,2,0,2,21,1,19,1,0
GEORGIA,2022,College of Coastal Georgia,,"4,303",2,0,1,0,1,20,0,18,2,0
GEORGIA,2022,Columbus State University,,"10,094",0,0,0,0,0,54,5,47,2,0
GEORGIA,2022,Dalton State College,,"5,513",0,0,0,0,0,0,0,0,0,0
GEORGIA,2022,Emory University,,"15,201",18,0,11,3,4,274,32,240,2,1
GEORGIA,2022,Fort Valley State University,,"3,202",4,0,0,1,3,14,1,7,6,0
GEORGIA,2022,Georgia College and State University,,"7,914",4,0,2,0,2,28,1,24,3,0
GEORGIA,2022,Georgia Gwinnett College,,"14,559",0,0,0,0,0,24,0,24,0,0
GEORGIA,2022,Georgia Highlands College,,"7,367",0,0,0,0,0,5,0,5,0,0
GEORGIA,2022,Georgia Institute of Technology,,"47,787",10,0,0,4,6,332,18,246,68,3
GEORGIA,2022,Georgia Military College,,"12,823",0,0,0,0,0,0,0,0,0,0
GEORGIA,2022,Georgia Northwestern Technical College,,"8,768",0,0,0,0,0,4,1,3,0,0
GEORGIA,2022,Georgia Piedmont Technical College,,"3,920",0,0,0,0,0,12,2,7,3,0
GEORGIA,2022,Georgia Southern University,,"31,082",12,0,9,2,1,136,4,127,5,0
GEORGIA,2022,Georgia Southwestern State University,,"3,926",0,0,0,0,0,6,0,5,1,0
GEORGIA,2022,Gordon State College,,"3,908",6,0,4,1,1,5,2,3,0,0
GEORGIA,2022,Gwinnett Technical College,,"11,675",0,0,0,0,0,0,0,0,0,0
GEORGIA,2022,Kennesaw State University,,"48,071",7,0,6,0,1,92,7,82,3,0
GEORGIA,2022,Mercer University,,"10,403",1,0,0,1,0,45,1,37,7,0
GEORGIA,2022,Middle Georgia State University,,"10,346",3,0,1,1,1,27,3,22,2,0
GEORGIA,2022,Morehouse College,,"2,482",2,0,1,0,1,20,1,16,3,0
GEORGIA,2022,Piedmont College ,,"3,055",0,0,0,0,0,0,0,0,0,0
GEORGIA,2022,Savannah Technical College,,"5,536",1,0,0,0,1,3,1,2,0,0
GEORGIA,2022,Southern Regional Technical College,,"5,685",0,0,0,0,0,0,0,0,0,0
GEORGIA,2022,South Georgia State College,,"2,649",0,0,0,0,0,2,1,1,0,0
GEORGIA,2022,Spelman College,,"2,286",0,0,0,0,0,4,1,3,0,0
GEORGIA,2022,University of Georgia,,"43,314",26,0,20,2,4,369,12,352,5,1
GEORGIA,2022,University of North Georgia,,"23,080",3,0,3,0,0,12,2,10,0,0
GEORGIA,2022,University of West Georgia,,"16,100",4,0,1,1,2,27,0,27,0,0
GEORGIA,2022,West Georgia Technical College,,"8,932",0,0,0,0,0,1,0,1,0,0
GEORGIA,2022,Young Harris College,,"1,620",1,0,1,0,0,25,0,25,0,0
ILLINOIS,2022,Bradley University3,,,0,0,0,0,0,0,0,0,0,0
ILLINOIS,2022,Chicago State University,,"3,246",1,1,0,0,0,3,1,1,1,0
ILLINOIS,2022,College of DuPage,,"36,245",0,0,0,0,0,9,0,9,0,0
ILLINOIS,2022,Eastern Illinois University,,"10,562",5,0,5,0,0,41,3,38,0,0
ILLINOIS,2022,Elgin Community College,,"11,788",0,0,0,0,0,2,0,1,1,0
ILLINOIS,2022,Eureka College,,551,0,0,0,0,0,0,0,0,0,0
ILLINOIS,2022,Harper College,,"22,623",0,0,0,0,0,0,0,0,0,0
ILLINOIS,2022,Illinois Central College,,"11,132",1,0,1,0,0,21,2,19,0,0
ILLINOIS,2022,Illinois State University,,"22,580",17,0,8,0,9,90,1,88,1,1
ILLINOIS,2022,John Wood Community College,,"2,724",0,0,0,0,0,0,0,0,0,0
ILLINOIS,2022,Joliet Junior College,,"20,745",0,0,0,0,0,3,0,3,0,0
ILLINOIS,2022,Lewis University,,"7,703",0,0,0,0,0,12,1,11,0,0
ILLINOIS,2022,Loyola University of Chicago,,"19,223",2,0,1,1,0,33,0,33,0,0
ILLINOIS,2022,McHenry County College,,"11,883",0,0,0,0,0,5,0,5,0,0
ILLINOIS,2022,Millikin University,,"2,147",3,0,2,1,0,17,0,16,1,0
ILLINOIS,2022,Moraine Valley Community College,,"17,693",0,0,0,0,0,1,0,1,0,0
ILLINOIS,2022,Morton College,,"5,387",0,0,0,0,0,5,2,3,0,0
ILLINOIS,2022,Northeastern Illinois University,,"8,778",0,0,0,0,0,6,0,5,1,0
ILLINOIS,2022,Northern Illinois University,,"18,759",15,0,13,0,2,72,1,69,2,0
ILLINOIS,2022,Oakton Community College,,"14,960",0,0,0,0,0,4,0,4,0,0
ILLINOIS,2022,Parkland College,,"9,133",0,0,0,0,0,9,0,9,0,0
ILLINOIS,2022,Rock Valley College,,"8,551",0,0,0,0,0,4,0,4,0,0
ILLINOIS,2022,Southern Illinois University:,Carbondale,"12,905",0,0,0,0,0,123,5,113,5,0
ILLINOIS,2022,Southern Illinois University:,School of Medicine3,,0,0,0,0,0,2,0,2,0,0
ILLINOIS,2022,South Suburban College,,"7,210",0,0,0,0,0,5,0,5,0,0
ILLINOIS,2022,Southwestern Illinois College,,"13,299",0,0,0,0,0,17,4,13,0,0
ILLINOIS,2022,University of Chicago,Cook County,"19,996",4,0,0,4,0,32,0,27,5,0
ILLINOIS,2022,University of Illinois:,Chicago,"36,710",10,0,1,3,6,216,5,207,4,0
ILLINOIS,2022,University of Illinois:,Urbana,"59,691",32,0,10,6,16,388,11,346,31,3
ILLINOIS,2022,Waubonsee Community College,,"13,452",0,0,0,0,0,0,0,0,0,0
INDIANA,2022,Indiana State University,,"12,410",6,0,4,1,1,60,3,54,3,1
INDIANA,2022,Purdue University,,"51,304",12,1,5,0,6,346,13,332,1,1
INDIANA,2022,University of Indianapolis,,"6,075",2,0,0,2,0,44,3,37,4,0
IOWA,2022,Iowa State University,,"33,336",8,0,7,0,1,136,3,129,4,1
IOWA,2022,University of Iowa,,"33,345",39,0,5,2,32,187,11,161,15,1
IOWA,2022,University of Northern Iowa,,"10,888",5,0,0,1,4,44,1,41,2,0
KANSAS,2022,Emporia State University,,"7,245",0,0,0,0,0,14,0,14,0,0
KANSAS,2022,Kansas State University,,"22,693",4,0,3,0,1,71,3,64,4,0
KANSAS,2022,Pittsburg State University,,"8,034",1,0,1,0,0,37,0,35,2,0
KANSAS,2022,University of Kansas:,Main Campus,"30,068",4,0,0,1,3,152,8,139,5,0
KANSAS,2022,University of Kansas:,Medical Center3,,21,0,1,3,17,199,1,174,24,0
KANSAS,2022,Washburn University,,"6,743",1,0,0,0,1,25,3,21,1,0
KENTUCKY,2022,Eastern Kentucky University,,"16,847",5,0,5,0,0,59,5,53,1,0
KENTUCKY,2022,Morehead State University,,"10,581",1,0,1,0,0,19,0,16,3,0
KENTUCKY,2022,Murray State University,,"10,570",2,0,2,0,0,32,3,29,0,0
KENTUCKY,2022,Northern Kentucky University,,"19,162",1,0,1,0,0,22,2,20,0,0
KENTUCKY,2022,University of Kentucky,,"32,446",31,0,12,3,16,481,14,453,14,0
KENTUCKY,2022,University of Louisville,,"26,237",7,0,0,6,1,271,26,227,18,0
KENTUCKY,2022,Western Kentucky University,,"20,304",2,0,1,1,0,111,5,103,3,0
LOUISIANA,2022,Louisiana State University:,Baton Rouge,"37,306",22,0,8,4,10,390,65,309,16,1
LOUISIANA,2022,Louisiana State University:,"Health Sciences Center, Shreveport","1,150",5,0,0,0,5,39,2,34,3,0
LOUISIANA,2022,Louisiana Tech University,,"12,841",2,0,2,0,0,48,1,45,2,0
LOUISIANA,2022,Southern University and A&M College,New Orleans,"2,688",0,0,0,0,0,0,0,0,0,0
LOUISIANA,2022,University of Louisiana,Monroe,"10,197",2,0,1,0,1,30,2,28,0,0
LOUISIANA,2022,University of New Orleans,,"9,867",3,0,0,1,2,22,4,17,1,0
MAINE,2022,University of Maine:,Farmington,"2,292",1,0,1,0,0,15,2,12,1,0
MAINE,2022,University of Maine:,Orono,"14,808",1,0,0,0,1,32,0,32,0,0
MAINE,2022,University of Southern Maine,,"10,662",2,0,2,0,0,12,0,11,1,0
MARYLAND,2022,Bowie State University,,"6,994",7,0,0,0,7,29,10,19,0,0
MARYLAND,2022,Morgan State University,,"8,294",16,0,2,1,13,33,1,31,1,0
MARYLAND,2022,Prince George's County Community College,,"16,951",1,0,0,0,1,20,4,15,1,0
MARYLAND,2022,Towson University,,"24,486",8,0,5,1,2,48,5,42,1,0
MASSACHUSETTS,2022,Amherst College,,"1,863",0,0,0,0,0,0,0,0,0,0
MASSACHUSETTS,2022,Assumption College,,"2,670",0,0,0,0,0,14,2,12,0,0
MASSACHUSETTS,2022,Babson College,,"3,877",0,0,0,0,0,33,1,31,1,0
MASSACHUSETTS,2022,Bentley University,,"5,541",2,0,1,0,1,15,1,13,1,0
MASSACHUSETTS,2022,Boston College,,"16,198",2,0,1,0,1,70,2,62,6,0
MASSACHUSETTS,2022,Boston University,,"40,492",13,0,7,2,4,370,8,361,1,0
MASSACHUSETTS,2022,Bridgewater State University,,"12,652",10,0,5,1,4,8,0,7,1,0
MASSACHUSETTS,2022,Bristol Community College,,"8,925",0,0,0,0,0,1,0,1,0,0
MASSACHUSETTS,2022,Bunker Hill Community College,,"14,143",0,0,0,0,0,4,0,4,0,0
MASSACHUSETTS,2022,Cape Cod Community College,,"4,216",0,0,0,0,0,2,0,2,0,0
MASSACHUSETTS,2022,Clark University,,"3,766",3,0,1,0,2,23,3,20,0,0
MASSACHUSETTS,2022,College of the Holy Cross,,"3,051",1,0,0,0,1,18,4,14,0,0
MASSACHUSETTS,2022,Curry College,,"2,825",0,0,0,0,0,5,1,4,0,0
MASSACHUSETTS,2022,Dean College,,"1,401",0,0,0,0,0,17,8,9,0,0
MASSACHUSETTS,2022,Emerson College,,"5,883",0,0,0,0,0,13,0,13,0,0
MASSACHUSETTS,2022,Endicott College,,"5,081",5,0,1,0,4,6,0,6,0,0
MASSACHUSETTS,2022,Fisher College,,"2,299",0,0,0,0,0,5,3,2,0,0
MASSACHUSETTS,2022,Fitchburg State University,,"10,165",3,0,1,0,2,21,7,14,0,0
MASSACHUSETTS,2022,Framingham State University,,"7,568",1,0,1,0,0,19,0,19,0,0
MASSACHUSETTS,2022,Gordon College,,"2,263",0,0,0,0,0,11,0,11,0,0
MASSACHUSETTS,2022,Greenfield Community College,,"2,268",0,0,0,0,0,0,0,0,0,0
MASSACHUSETTS,2022,Harvard University,,"39,981",6,0,1,0,5,534,41,420,73,0
MASSACHUSETTS,2022,Holyoke Community College,,"5,496",0,0,0,0,0,2,1,0,1,0
MASSACHUSETTS,2022,Lasell College,,"2,416",2,0,1,0,1,11,0,11,0,0
MASSACHUSETTS,2022,Massachusetts Bay Community College,,"6,236",0,0,0,0,0,1,0,1,0,0
MASSACHUSETTS,2022,Massachusetts College of Art,,"2,117",0,0,0,0,0,9,0,9,0,0
MASSACHUSETTS,2022,Massachusetts College of Liberal Arts,,"1,765",1,0,0,0,1,4,0,4,0,0
MASSACHUSETTS,2022,Massachusetts Institute of Technology,,"12,217",3,0,2,0,1,232,14,218,0,0
MASSACHUSETTS,2022,Massasoit Community College,,"8,472",0,0,0,0,0,4,1,3,0,0
MASSACHUSETTS,2022,MCPHS University,,"9,543",0,0,0,0,0,18,1,17,0,0
MASSACHUSETTS,2022,Merrimack College,,"6,233",3,0,1,0,2,27,11,16,0,0
MASSACHUSETTS,2022,Mount Holyoke College,,"2,303",0,0,0,0,0,38,0,38,0,0
MASSACHUSETTS,2022,Mount Wachusett Community College,,"4,343",0,0,0,0,0,4,0,4,0,0
MASSACHUSETTS,2022,Northeastern University,,"31,124",8,0,5,1,2,309,13,287,9,0
MASSACHUSETTS,2022,North Shore Community College,,"6,919",0,0,0,0,0,0,0,0,0,0
MASSACHUSETTS,2022,Quinsigamond Community College,,"9,370",3,0,0,0,3,3,0,3,0,1
MASSACHUSETTS,2022,Salem State University,,"8,742",3,0,3,0,0,11,3,8,0,0
MASSACHUSETTS,2022,Simmons College,,"7,362",0,0,0,0,0,25,5,20,0,0
MASSACHUSETTS,2022,Smith College,,"2,979",0,0,0,0,0,1,1,0,0,1
MASSACHUSETTS,2022,Springfield College,,"3,250",0,0,0,0,0,2,2,0,0,0
MASSACHUSETTS,2022,Springfield Technical Community College,,"5,743",1,0,0,0,1,2,1,1,0,0
MASSACHUSETTS,2022,Stonehill College,,"2,574",1,0,1,0,0,11,0,11,0,0
MASSACHUSETTS,2022,Tufts University:,Medford,"13,878",2,0,1,1,0,27,3,22,2,0
MASSACHUSETTS,2022,Tufts University:,Suffolk3,,1,0,1,0,0,14,0,14,0,0
MASSACHUSETTS,2022,Tufts University:,Worcester3,,0,0,0,0,0,3,0,3,0,0
MASSACHUSETTS,2022,University of Massachusetts:,Amherst,"36,827",12,0,5,0,7,171,17,154,0,0
MASSACHUSETTS,2022,University of Massachusetts:,Dartmouth,"9,244",5,0,0,0,5,49,6,42,1,3
MASSACHUSETTS,2022,University of Massachusetts:,"Harbor Campus, Boston","19,398",1,0,0,0,1,21,0,21,0,0
MASSACHUSETTS,2022,University of Massachusetts:,Lowell,"22,559",9,0,5,2,2,64,5,56,3,0
MASSACHUSETTS,2022,University of Massachusetts:,"Medical Center, Worcester","1,339",15,0,0,0,15,33,1,30,2,0
MASSACHUSETTS,2022,Wellesley College,,"2,405",0,0,0,0,0,22,1,21,0,0
MASSACHUSETTS,2022,Wentworth Institute of Technology,,"5,319",0,0,0,0,0,29,1,28,0,0
MASSACHUSETTS,2022,Western New England University,,"3,951",1,0,1,0,0,19,3,16,0,1
MASSACHUSETTS,2022,Westfield State University,,"6,391",5,0,2,0,3,12,0,12,0,0
MASSACHUSETTS,2022,Wheaton College,,"1,748",0,0,0,0,0,14,3,11,0,0
MASSACHUSETTS,2022,Worcester Polytechnic Institute,,"7,876",13,0,0,0,13,28,2,26,0,0
MASSACHUSETTS,2022,Worcester State University,,"7,737",0,0,0,0,0,11,0,10,1,0
MICHIGAN,2022,Central Michigan University,,"20,057",6,0,1,0,5,37,1,35,1,0
MICHIGAN,2022,Delta College,,"9,738",0,0,0,0,0,5,1,4,0,0
MICHIGAN,2022,Eastern Michigan University,,"19,451",12,0,4,1,7,66,6,57,3,3
MICHIGAN,2022,Grand Valley State University,,"26,320",7,0,5,1,1,98,5,91,2,0
MICHIGAN,2022,Kalamazoo Valley Community College,,"10,128",0,0,0,0,0,9,0,9,0,0
MICHIGAN,2022,Kellogg Community College,,"5,335",0,0,0,0,0,3,0,3,0,0
MICHIGAN,2022,Kirtland Community College,,"1,982",0,0,0,0,0,0,0,0,0,0
MICHIGAN,2022,Lansing Community College,,"14,739",1,0,0,0,1,19,0,18,1,0
MICHIGAN,2022,Macomb Community College,,"24,180",0,0,0,0,0,15,0,15,0,0
MICHIGAN,2022,Michigan State University,,"54,245",18,0,10,3,5,524,21,469,34,5
MICHIGAN,2022,Michigan Technological University,,"7,241",0,0,0,0,0,28,0,27,1,0
MICHIGAN,2022,Mott Community College,,"7,479",0,0,0,0,0,3,0,3,0,0
MICHIGAN,2022,Northern Michigan University,,"8,365",7,0,5,0,2,34,1,30,3,0
MICHIGAN,2022,Oakland Community College,,"23,708",0,0,0,0,0,11,2,9,0,0
MICHIGAN,2022,Oakland University,,"21,329",2,0,1,0,1,25,1,24,0,0
MICHIGAN,2022,Saginaw Valley State University,,"8,827",6,0,4,0,2,13,2,11,0,0
MICHIGAN,2022,Schoolcraft College,,"13,994",0,0,0,0,0,7,0,7,0,0
MICHIGAN,2022,University of Michigan:,Ann Arbor,"50,002",24,0,7,1,16,453,13,430,10,2
MICHIGAN,2022,University of Michigan:,Dearborn,"10,105",0,0,0,0,0,3,0,3,0,0
MICHIGAN,2022,University of Michigan:,Flint,"8,032",1,0,1,0,0,35,3,31,1,0
MICHIGAN,2022,Washtenaw Community College,,"18,734",0,0,0,0,0,10,0,10,0,0
MICHIGAN,2022,Western Michigan University,,"22,035",6,0,2,1,3,131,2,124,5,0
MINNESOTA,2022,University of Minnesota:,Duluth,"11,024",0,0,0,0,0,36,4,32,0,0
MINNESOTA,2022,University of Minnesota:,Morris,"1,441",0,0,0,0,0,6,0,5,1,0
MINNESOTA,2022,University of Minnesota:,Twin Cities,"62,309",14,0,4,4,6,451,22,376,53,1
MISSISSIPPI,2022,East Mississippi Community College:,Communiversity3,,0,0,0,0,0,1,0,1,0,0
MISSISSIPPI,2022,East Mississippi Community College:,Golden Triangle3,,0,0,0,0,0,2,0,2,0,0
MISSISSIPPI,2022,East Mississippi Community College:,West Point3,,0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2022,East Mississippi Community College:,Scooba ,"4,644",0,0,0,0,0,2,0,2,0,0
MISSISSIPPI,2022,Holmes Community College:,Goodman,"7,549",0,0,0,0,0,2,0,2,0,0
MISSISSIPPI,2022,Holmes Community College:,Grenada3,,0,0,0,0,0,1,0,1,0,0
MISSISSIPPI,2022,Holmes Community College:,Ridgeland3,,0,0,0,0,0,0,0,0,0,0
MISSISSIPPI,2022,Jones County Junior College,,"6,213",0,0,0,0,0,8,2,6,0,0
MISSISSIPPI,2022,Mississippi Delta Community College,,"5,205",0,0,0,0,0,2,0,2,0,0
MISSISSIPPI,2022,Mississippi State University,,"25,760",3,0,1,0,2,4,0,4,0,0
MISSISSIPPI,2022,Northeast Mississippi Community College,,"5,809",0,0,0,0,0,11,0,11,0,0
